Time,Cur.,Imp.,Event,Actual,Forecast,Previous,
,,,,,,,
19:30,JPY,Orange,CFTC JPY speculative net positions,,,176.9K,
,,,,,,,
19:30,NZD,Yellow,CFTC NZD speculative net positions,,,-23.1K,
,,,,,,,
19:30,EUR,Orange,CFTC EUR speculative net positions,,,75.7K,
,,,,,,,
19:40,RUB,Yellow,Trade Balance (Mar),,,10.50B,
,,,,,,,
19:40,RUB,Orange,CPI (YoY) (Apr),,,10.3%,
,,,,,,,
19:40,RUB,Orange,CPI (MoM) (Apr),,,0.7%,
,,,,,,,
20:00,USD,Yellow,"US Foreign Buying, T-bonds (Mar)",,,106.20B,
,,,,,,,
20:00,USD,Yellow,Overall Net Capital Flow (Mar),,,284.70B,
,,,,,,,
20:00,USD,Orange,TIC Net Long-Term Transactions (Mar),,44.2B,112.0B,
,,,,,,,
20:00,USD,Yellow,TIC Net Long-Term Transactions including Swaps (Mar),,,112.00B,
,,,,,,,
"Saturday, May 17, 2025",,,,,,,
01:40,USD,Orange,FOMC Member Daly Speaks,,,,
,,,,,,,
